onset	duration	trial_type
0	16	Rest
16	16	Finger movements
32	16	Upper arm movements
48	16	Ankle movements
64	16	Jaw movements
80	16	Tongue movements
96	16	Right leg movements
112	16	Rest
128	16	Wrist movements
144	16	Lip movements
160	16	Left leg movements
176	16	Toe movements
192	16	Eye movements
208	16	Forearm movements
224	16	Rest
240	16	Forearm movements
256	16	Eye movements
272	16	Toe movements
288	16	Left leg movements
304	16	Lip movements
320	16	Wrist movements
336	16	Rest
352	16	Right leg movements
368	16	Tongue movements
384	16	Jaw movements
400	16	Ankle movements
416	16	Upper arm movements
432	16	Finger movements
448	16	Rest
